searched_zipcode,searched_lat,searched_lng,searched_address,searched_state,searched_city,searched_metro,latitude,longitude,distance,loc_name,loc_number,address,cuisines,delivery_time_raw,delivery_time,review_count,review_rating,RunDate,Specialty Items,Meal Types,Dietary Preferences
11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.6873507,-73.9186853,1.776486634,The Green Vegan Monsta,493446,"1470 Broadway, Brooklyn, NY 11221, USA",American,32 - 42,37,752,3.4,25/04/22 7:01,Burgers|Miscellaneous|Sandwiches,Miscellaneous|Breakfast,Vegan|Miscellaneous
10003,40.7324733,-73.98738,"41 Cooper Square, 7 E 7th St, New York, NY 10003, USA",NY,New York,NY,40.67581605,-73.94157697,0.52037552,Crown Grill Pizza and Chicken,114198,"117 Kingston Ave, Brooklyn, NY 11213, USA",Italian|American,22 - 32,27,403,3.8,25/04/22 7:01,Pizza|Miscellaneous|Sandwiches|Burgers,Miscellaneous,Miscellaneous
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,40.67581605,-73.94157697,0.52037552,Crown Grill Pizza and Chicken,114198,"117 Kingston Ave, Brooklyn, NY 11213, USA",Italian|American,22 - 32,27,403,3.8,25/04/22 7:01,Pizza|Miscellaneous|Sandwiches|Burgers,Miscellaneous,Miscellaneous
11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.67581605,-73.94157697,0.52037552,Crown Grill Pizza and Chicken,114198,"117 Kingston Ave, Brooklyn, NY 11213, USA",Italian|American,22 - 32,27,403,3.8,25/04/22 7:01,Pizza|Miscellaneous|Sandwiches|Burgers,Miscellaneous,Miscellaneous
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,40.6936199,-73.9309137,1.454642722,Jumbo Crab House,1492047,"1086 Dekalb Ave, Brooklyn, NY 11221, USA",Seafood,24 - 34,29,72,4.1,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.6936199,-73.9309137,1.454642722,Jumbo Crab House,1492047,"1086 Dekalb Ave, Brooklyn, NY 11221, USA",Seafood,24 - 34,29,72,4.1,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
10003,40.7324733,-73.98738,"41 Cooper Square, 7 E 7th St, New York, NY 10003, USA",NY,New York,NY,40.6936199,-73.9309137,1.454642722,Jumbo Crab House,1492047,"1086 Dekalb Ave, Brooklyn, NY 11221, USA",Seafood,24 - 34,29,72,4.1,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,40.680655,-73.9520549,0.145170907,Bagel Story,313340,"1237 Fulton St, Brooklyn, NY 11216, USA",Miscellaneous,27 - 37,32,162,4.3,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.680655,-73.9520549,0.145170907,Bagel Story,313340,"1237 Fulton St, Brooklyn, NY 11216, USA",Miscellaneous,27 - 37,32,162,4.3,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
10003,40.7324733,-73.98738,"41 Cooper Square, 7 E 7th St, New York, NY 10003, USA",NY,New York,NY,40.680655,-73.9520549,0.145170907,Bagel Story,313340,"1237 Fulton St, Brooklyn, NY 11216, USA",Miscellaneous,27 - 37,32,162,4.3,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.6778726,-73.9499771,0.075757254,Ashani's Caribbean Kitchen,2669823,"608 Nostrand Ave., Brooklyn, NY 11216, USA",Caribbean,17 - 27,22,0,0.0,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,40.6778726,-73.9499771,0.075757254,Ashani's Caribbean Kitchen,2669823,"608 Nostrand Ave., Brooklyn, NY 11216, USA",Caribbean,17 - 27,22,0,0.0,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
10003,40.7324733,-73.98738,"41 Cooper Square, 7 E 7th St, New York, NY 10003, USA",NY,New York,NY,40.6778726,-73.9499771,0.075757254,Ashani's Caribbean Kitchen,2669823,"608 Nostrand Ave., Brooklyn, NY 11216, USA",Caribbean,17 - 27,22,0,0.0,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.68251,-73.961367,0.615032284,High Vibrations Juice Bar,1433852,"High Vibrations Juice Bar, 1013 Fulton St, Brooklyn, NY 11238, USA",Miscellaneous,21 - 31,26,1,5.0,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
10003,40.7324733,-73.98738,"41 Cooper Square, 7 E 7th St, New York, NY 10003, USA",NY,New York,NY,40.68251,-73.961367,0.615032284,High Vibrations Juice Bar,1433852,"High Vibrations Juice Bar, 1013 Fulton St, Brooklyn, NY 11238, USA",Miscellaneous,21 - 31,26,1,5.0,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,40.68251,-73.961367,0.615032284,High Vibrations Juice Bar,1433852,"High Vibrations Juice Bar, 1013 Fulton St, Brooklyn, NY 11238, USA",Miscellaneous,21 - 31,26,1,5.0,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.68739,-73.944457,0.675147716,The Bush Doctor Juice Bar,214537,"307 Tompkins Ave, Brooklyn, NY 11216, USA",American,22 - 32,27,5,4.6,25/04/22 7:01,Miscellaneous|Burgers,Miscellaneous,Miscellaneous
10003,40.7324733,-73.98738,"41 Cooper Square, 7 E 7th St, New York, NY 10003, USA",NY,New York,NY,40.68739,-73.944457,0.675147716,The Bush Doctor Juice Bar,214537,"307 Tompkins Ave, Brooklyn, NY 11216, USA",American,22 - 32,27,5,4.6,25/04/22 7:01,Miscellaneous|Burgers,Miscellaneous,Miscellaneous
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,40.68739,-73.944457,0.675147716,The Bush Doctor Juice Bar,214537,"307 Tompkins Ave, Brooklyn, NY 11216, USA",American,22 - 32,27,5,4.6,25/04/22 7:01,Miscellaneous|Burgers,Miscellaneous,Miscellaneous
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,40.6845328,-73.9355253,0.88621632,Rococo Design Gifts,2737601,"324 Lewis Ave, Brooklyn, NY 11221, USA",Miscellaneous,59 - 69,64,37,4.9,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.6845328,-73.9355253,0.88621632,Rococo Design Gifts,2737601,"324 Lewis Ave, Brooklyn, NY 11221, USA",Miscellaneous,59 - 69,64,37,4.9,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
10003,40.7324733,-73.98738,"41 Cooper Square, 7 E 7th St, New York, NY 10003, USA",NY,New York,NY,40.6845328,-73.9355253,0.88621632,Rococo Design Gifts,2737601,"324 Lewis Ave, Brooklyn, NY 11221, USA",Miscellaneous,59 - 69,64,37,4.9,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,40.685218,-73.9292813,1.204722279,the tasty waffle company,728322,"The Tasty Waffle Company, 227 Malcolm X Blvd, Brooklyn, NY 11221, USA",Miscellaneous,24 - 34,29,13,4.9,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
10003,40.7324733,-73.98738,"41 Cooper Square, 7 E 7th St, New York, NY 10003, USA",NY,New York,NY,40.685218,-73.9292813,1.204722279,the tasty waffle company,728322,"The Tasty Waffle Company, 227 Malcolm X Blvd, Brooklyn, NY 11221, USA",Miscellaneous,24 - 34,29,13,4.9,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.685218,-73.9292813,1.204722279,the tasty waffle company,728322,"The Tasty Waffle Company, 227 Malcolm X Blvd, Brooklyn, NY 11221, USA",Miscellaneous,24 - 34,29,13,4.9,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
